Date,SKU,Product,Quantity,Unit,Amount,Currency,Location,Reference,Kind,Historical unit cost
2026-06-15,EMP-001,Shipping box · medium,12,pieces,384,MXN,Saltillo branch,,sale,18
2026-06-15,EMP-002,Packing tape · 48 mm,11,pieces,462,MXN,Saltillo branch,,sale,24
2026-06-15,IND-001,Nitrile work gloves,15,pieces,1425,MXN,Saltillo branch,,sale,58
2026-06-15,IND-002,Safety glasses · clear,16,pieces,1088,MXN,Saltillo branch,,sale,35
2026-06-15,OFC-001,Copy paper · 500 sheets,18,pieces,1980,MXN,Saltillo branch,,sale,72
2026-06-15," ofc 002 ",Permanent marker · black,17,pieces,306,MXN,Saltillo branch,,sale,9
2026-06-16,EMP-001,Shipping box · medium,19,pieces,608,MXN,Monterrey warehouse,,sale,18
2026-06-16,EMP-002,Packing tape · 48 mm,18,pieces,756,MXN,Monterrey warehouse,,sale,24
2026-06-16,IND-001,Nitrile work gloves,9,pieces,855,MXN,Monterrey warehouse,,sale,58
2026-06-16,IND-002,Safety glasses · clear,10,pieces,680,MXN,Monterrey warehouse,,sale,35
2026-06-16,OFC-001,Copy paper · 500 sheets,12,pieces,1320,MXN,Monterrey warehouse,,sale,72
2026-06-16," ofc 002 ",Permanent marker · black,24,pieces,432,MXN,Monterrey warehouse,,sale,9
2026-06-17,EMP-001,Shipping box · medium,13,pieces,416,MXN,Monterrey warehouse,,sale,18
2026-06-17,EMP-002,Packing tape · 48 mm,12,pieces,504,MXN,Monterrey warehouse,,sale,24
2026-06-17,IND-001,Nitrile work gloves,16,pieces,1520,MXN,Monterrey warehouse,,sale,58
2026-06-17,IND-002,Safety glasses · clear,17,pieces,1156,MXN,Monterrey warehouse,,sale,35
2026-06-17,OFC-001,Copy paper · 500 sheets,6,pieces,660,MXN,Monterrey warehouse,,sale,72
2026-06-17," ofc 002 ",Permanent marker · black,18,pieces,324,MXN,Monterrey warehouse,,sale,9
2026-06-18,EMP-001,Shipping box · medium,20,pieces,640,MXN,Monterrey warehouse,,sale,18
2026-06-18,EMP-002,Packing tape · 48 mm,19,pieces,798,MXN,Monterrey warehouse,,sale,24
